,av_fraction,sim_time,scenario,policy,model,LaneBasedMoveEvent
0,0.1576196840153922,129.46010324709098,0,None,OpenTrafficSim,13539
1,0.279113467941135,214.0268267372638,1,None,OpenTrafficSim,24607
2,0.18291914172099263,162.08535009464453,2,None,OpenTrafficSim,16345
3,0.22337300256065623,231.48528308666397,3,None,OpenTrafficSim,26505
4,0.11593376029618208,174.59963647559258,4,None,OpenTrafficSim,19709
