id,link,lane,time,distance,speed
1,AB,FORWARD1,1.344236884790446,5.0,33.333333333333336
1,AB,FORWARD2,1.344236884790446,5.0,33.333333333333336
3,AB,FORWARD1,3.3882197195356496,30.869016429365963,33.22640576291565
1,AB,FORWARD1,3.3882197195356496,72.89997078071792,33.19527575782517
3,AB,FORWARD2,3.3882197195356496,30.869016429365963,33.22640576291565
1,AB,FORWARD2,3.3882197195356496,72.89997078071792,33.19527575782517
5,AB,FORWARD1,5.499999999999802,57.79804020875869,33.17959219077519
4,AB,FORWARD2,5.499999999999802,58.11396119081199,32.71339016479182
3,AB,FORWARD2,5.499999999999802,100.921488408639,33.19080528197434
1,AB,FORWARD2,5.499999999999802,142.88046379913368,33.093194132656095
7,AB,FORWARD1,7.5,7.2103902152673705,33.16164908477189
5,AB,FORWARD1,7.5,124.12051052662534,33.14461333894119
4,AB,FORWARD2,7.5,123.0721518484686,32.27095090106946
3,AB,FORWARD2,7.5,167.27761855503545,33.1665235624717
1,AB,FORWARD2,7.5,208.99431256820708,33.0241390163478
9,AB,FORWARD1,9.5,28.699095632224886,33.267062716754815
7,AB,FORWARD1,9.5,73.98489320333125,33.5955254180773
5,AB,FORWARD1,9.5,190.38301656652737,33.11915207496784
8,AB,FORWARD2,9.5,29.497702929039725,31.84981897059867
4,AB,FORWARD2,9.5,187.291735711452,31.96599449348056
3,AB,FORWARD2,9.5,233.58922222124866,33.13809789006618
1,AB,FORWARD2,9.5,274.99006656167523,32.97412404515503
13,AB,FORWARD1,11.5,12.090890046042123,32.70291770637681
11,AB,FORWARD1,11.5,54.382647731082734,32.71073278898468
9,AB,FORWARD1,11.5,95.07520128631118,33.11683742844049
7,AB,FORWARD1,11.5,141.52410604713302,33.92983993794453
5,AB,FORWARD1,11.5,256.60185693589983,33.100603780545555
12,AB,FORWARD2,11.5,12.97141047345351,31.224784180304432
10,AB,FORWARD2,11.5,52.60882669540018,31.25567110083197
8,AB,FORWARD2,11.5,92.72561942701581,31.405151178681336
4,AB,FORWARD2,11.5,250.99925950242897,31.75332413601288
3,AB,FORWARD2,11.5,299.77751022461587,33.04644601574867
1,AB,FORWARD2,11.5,340.9002189564252,32.93784090165133
13,AB,FORWARD1,13.5,77.01324584715829,32.250837671551594
11,AB,FORWARD1,13.5,119.39936547612804,32.32810506674753
9,AB,FORWARD1,13.5,161.19541162804202,33.008903302496414
7,AB,FORWARD1,13.5,209.6500818043586,34.185258839633626
5,AB,FORWARD1,13.5,322.788878048392,33.08708360804795
12,AB,FORWARD2,13.5,74.84828134691813,30.716233040319025
10,AB,FORWARD2,13.5,114.74291805485035,30.90830697448383
8,AB,FORWARD2,13.5,155.21496116163243,31.10193952435059
4,AB,FORWARD2,13.5,314.3482678558416,31.60382427227129
3,AB,FORWARD2,13.5,365.77768505626915,32.95640028680966
1,AB,FORWARD2,13.5,406.74823616832225,32.91148873585593
16,AB,FORWARD1,15.5,47.295335179411055,32.353078508927425
13,AB,FORWARD1,15.5,141.2007347690076,31.95555052789923
11,AB,FORWARD1,15.5,183.77505545277367,32.06245267154024
9,AB,FORWARD1,15.5,227.1314411441732,32.931077939887516
7,AB,FORWARD1,15.5,278.22288018388065,34.379109422389135
5,AB,FORWARD1,15.5,388.9527006603705,33.07722432002821
17,AB,FORWARD2,15.5,40.61451371808362,30.98897697952775
12,AB,FORWARD2,15.5,136.01322223074942,30.47395307451831
10,AB,FORWARD2,15.5,176.334522242122,30.698551895687316
8,AB,FORWARD2,15.5,217.1975843225142,30.89261425901403
4,AB,FORWARD2,15.5,377.4445623563749,31.49814957928846
3,AB,FORWARD2,15.5,431.6165921358328,32.885574442922184
1,AB,FORWARD2,15.5,472.55110619586026,32.892333184570695
16,AB,FORWARD1,17.5,112.27640274855588,32.61626203807317
13,AB,FORWARD1,17.5,204.9028853037631,31.758997713372178
11,AB,FORWARD1,17.5,247.70348287585747,31.876166004938398
9,AB,FORWARD1,17.5,292.93450026779067,32.87481918335579
7,AB,FORWARD1,17.5,347.13393684112225,34.52548047070111
5,AB,FORWARD1,17.5,455.0996036763711,33.070032418971266
18,AB,FORWARD2,17.5,61.88707893066996,30.96980956185219
17,AB,FORWARD2,17.5,103.17639627449188,31.550436652103546
12,AB,FORWARD2,17.5,196.82234120207858,30.347773312948483
10,AB,FORWARD2,17.5,237.58967019182927,30.56597883457726
8,AB,FORWARD2,17.5,278.82894233063814,30.746896084155445
4,AB,FORWARD2,17.5,440.3618833822778,31.423164319626185
3,AB,FORWARD2,17.5,497.33239604644535,32.83276424281105
1,AB,FORWARD2,17.5,538.3211484958646,32.878400358323084
16,AB,FORWARD1,19.5,177.71506493454706,32.813414654442866
13,AB,FORWARD1,19.5,268.2816188998478,31.628075369844076
11,AB,FORWARD1,19.5,311.3172036228758,31.744635575849607
9,AB,FORWARD1,19.5,358.6413499040453,32.83407603360349
7,AB,FORWARD1,19.5,416.29990782274893,34.63556866205862
5,AB,FORWARD1,19.5,521.2341632357144,33.064785067713544
21,AB,FORWARD2,19.5,14.103662495484185,31.322545465063072
18,AB,FORWARD2,19.5,124.21729349927742,31.382354417832257
17,AB,FORWARD2,19.5,166.72702786358815,31.98203354364714
12,AB,FORWARD2,19.5,257.44622914248316,30.283285694327944
10,AB,FORWARD2,19.5,298.63179323101605,30.482228857389874
8,AB,FORWARD2,19.5,340.2150815905446,30.644876876143222
4,AB,FORWARD2,19.5,503.15203658758753,31.369811222601474
3,AB,FORWARD2,19.5,562.957533032563,32.79434675342096
1,AB,FORWARD2,19.5,604.0673082224297,32.86826177763648
