,main_demand,ramp_demand,av_fraction,scenario,policy,model,meanDensity,meanFlow,meanSpeed,meanTravelTime
0,16902.800555480273,2555.009340962077,0.14850577319548616,1,0,VehicleAutomationModel,0.0202311481338702,0.4484553271840364,23.37661771221478,78.54347300727633
1,7674.554488895653,3303.681359200394,0.14850577319548616,2,0,VehicleAutomationModel,0.0185838763714991,0.4274978976222106,23.642633543534764,77.07673856480655
2,17024.75403594819,3103.5675335494534,0.14850577319548616,3,0,VehicleAutomationModel,0.0190004673054417,0.4579316087742396,24.86492112452818,75.06865345617712
3,17293.86258522789,2798.461756409098,0.14850577319548616,4,0,VehicleAutomationModel,0.0205867371778809,0.4584508345105729,23.16958177573976,78.72058813698507
4,15521.483903027114,3576.8060808337,0.14850577319548616,5,0,VehicleAutomationModel,0.0205113755037027,0.4497714513730295,22.941920242182128,79.36121231494963
5,10645.488031600085,4161.362643213981,0.14850577319548616,6,0,VehicleAutomationModel,0.0202946880322593,0.4686533443151193,23.9245169621788,77.01225132140357
6,6784.815062700312,4023.675249281834,0.14850577319548616,7,0,VehicleAutomationModel,0.0204507180720005,0.4419032043847376,22.711999946594943,80.22363684981889
7,6721.14297899693,3875.229741572698,0.14850577319548616,8,0,VehicleAutomationModel,0.0200722516673155,0.4562950162921625,23.731208871474045,77.76343154579753
8,17381.195782389776,1468.6796327886645,0.14850577319548616,9,0,VehicleAutomationModel,0.018749396889124,0.4309945010706372,23.70933723401646,77.74209436875232
9,11997.998393573067,4062.1457129795926,0.14850577319548616,10,0,VehicleAutomationModel,0.0205164140259808,0.4529646905233898,23.09479683759156,78.42858388584243
10,18960.96801704327,1888.1974045121956,0.14850577319548616,11,0,VehicleAutomationModel,0.0168216897945282,0.4018955331019179,25.134802232663024,75.22779244306258
11,16818.23832856437,3994.057955245104,0.14850577319548616,12,0,VehicleAutomationModel,0.0198209439594787,0.4353440073843868,23.03115683625077,77.5225157490041
12,11502.138473748655,2756.4301704935933,0.14850577319548616,13,0,VehicleAutomationModel,0.0204175116629432,0.4673007978122354,23.76056073445158,78.5545066608173
13,19045.027790816082,3260.966235991465,0.14850577319548616,14,0,VehicleAutomationModel,0.0196307070327994,0.4286994731074013,23.035408166777145,80.31687532681117
14,14224.864860968726,5122.040723551502,0.14850577319548616,15,0,VehicleAutomationModel,0.0219889330928882,0.3735504813556969,19.29746971018802,94.64242961887096
15,9023.193221873169,2205.5383634355876,0.14850577319548616,16,0,VehicleAutomationModel,0.0205263544101883,0.4455920996712281,22.782633778847057,79.10471728191914
16,18008.355725887406,5696.767630418642,0.14850577319548616,17,0,VehicleAutomationModel,0.0191014380527138,0.4453734637369793,24.08898293901479,76.25115925086517
17,6490.066873547365,2115.643830836382,0.14850577319548616,18,0,VehicleAutomationModel,0.0200372819049564,0.4652457059533608,24.11370866732429,76.82487434857404
18,9386.440043082319,2064.736146104421,0.14850577319548616,19,0,VehicleAutomationModel,0.0202923172802554,0.4593925838100853,23.583397102707146,78.37040805493442
19,18350.530106494225,4394.025465915571,0.14850577319548616,20,0,VehicleAutomationModel,0.0184594184065779,0.4341163745238624,24.22115568506149,75.79498349648857
20,10357.880455750288,1540.489765369166,0.14850577319548616,21,0,VehicleAutomationModel,0.020617015170535,0.4578015819541765,23.27319451657385,80.38982376835808
21,18206.095541020204,4123.26033057832,0.14850577319548616,22,0,VehicleAutomationModel,0.0185501626558791,0.437707408742474,24.27179260641543,76.007804672074
22,16696.82529234147,4821.514827247256,0.14850577319548616,23,0,VehicleAutomationModel,0.0206057148323867,0.4565378481003395,23.21588690922732,78.40551332258538
23,17938.523734080612,1783.5996215925688,0.14850577319548616,24,0,VehicleAutomationModel,0.0185481349100126,0.4276598948414498,24.11118793781916,77.79029029055965
24,11298.495664358663,2301.288366145248,0.14850577319548616,25,0,VehicleAutomationModel,0.0202515690257856,0.4618578738508347,23.72620065339229,77.98009555745521
25,18657.6607191574,1247.9332265700355,0.14850577319548616,26,0,VehicleAutomationModel,0.0139919283266099,0.3520326084656696,25.89079900936117,71.89494672651105
26,15435.582487148158,2691.2490342523843,0.14850577319548616,27,0,VehicleAutomationModel,0.0204752618583906,0.4509486119205369,23.194577950515978,77.6137375467175
27,8734.24189837242,2445.2091434716485,0.14850577319548616,28,0,VehicleAutomationModel,0.0194421256049396,0.4358465741865973,23.31833835350155,79.31179335962595
28,8470.585566229383,4557.371902864193,0.14850577319548616,29,0,VehicleAutomationModel,0.0221472506599349,0.3754849601949556,19.166731706364505,92.68101516051594
29,19920.253988111428,3681.690002078424,0.14850577319548616,30,0,VehicleAutomationModel,0.020255645199372,0.4662471862873002,24.03981600765745,77.41037989259625
30,6624.899720886837,4683.872449049877,0.14850577319548616,31,0,VehicleAutomationModel,0.0203181929501086,0.4430613044469313,22.92292147000916,79.69374745089351
31,8715.794063987207,5038.0445467857935,0.14850577319548616,32,0,VehicleAutomationModel,0.0206996837688658,0.4412869528406383,22.598019131980955,80.39276040444062
32,19585.775091625124,5489.101299390456,0.14850577319548616,33,0,VehicleAutomationModel,0.0202162291180944,0.4702028039394721,24.072270303428564,76.56971892593869
33,9596.224563402628,3007.3525153943847,0.14850577319548616,34,0,VehicleAutomationModel,0.0177796665159444,0.4062666513800154,24.04784103323187,77.2518763487707
34,15014.696330700044,3776.838798903345,0.14850577319548616,35,0,VehicleAutomationModel,0.0204035682194855,0.4527173232347284,23.18736262621184,78.78639927814199
35,13933.077559127545,3519.363364500484,0.14850577319548616,36,0,VehicleAutomationModel,0.0207304449180459,0.4155943916797487,21.921835066612672,83.41476101856492
